dip_cm,liters,increment_per_mm
0.50,3.30,
1.00,9.35,1.21
1.50,17.17,1.56
2.00,26.41,1.85
2.50,36.89,2.10
3.00,48.45,2.31
3.50,61.01,2.51
4.00,74.49,2.70
4.50,88.81,2.86
5.00,103.94,3.03
5.50,119.82,3.18
6.00,136.43,3.32
6.50,153.71,3.46
7.00,171.65,3.59
7.50,190.23,3.72
8.00,209.40,3.83
8.50,229.16,3.95
9.00,249.48,4.06
9.50,270.35,4.17
10.00,291.75,4.28
10.50,313.66,4.38
11.00,336.06,4.48
11.50,358.95,4.58
12.00,382.32,4.67
12.50,406.14,4.76
13.00,430.42,4.86
13.50,455.13,4.94
14.00,480.27,5.03
14.50,505.83,5.11
15.00,531.80,5.19
15.50,558.17,5.27
16.00,584.93,5.35
16.50,612.08,5.43
17.00,639.60,5.50
17.50,667.49,5.58
18.00,695.75,5.65
18.50,724.36,5.72
19.00,753.32,5.79
19.50,782.63,5.86
20.00,812.27,5.93
20.50,842.24,5.99
21.00,872.54,6.06
21.50,903.16,6.12
22.00,934.09,6.19
22.50,965.33,6.25
23.00,996.88,6.31
23.50,1028.73,6.37
24.00,1060.87,6.43
24.50,1093.30,6.49
25.00,1126.02,6.54
25.50,1159.02,6.60
26.00,1192.30,6.66
26.50,1225.85,6.71
27.00,1259.67,6.76
27.50,1293.76,6.82
28.00,1328.10,6.87
28.50,1362.71,6.92
29.00,1397.57,6.97
29.50,1432.68,7.02
30.00,1468.03,7.07
30.50,1503.63,7.12
31.00,1539.47,7.17
31.50,1575.55,7.22
32.00,1611.86,7.26
32.50,1648.40,7.31
33.00,1685.17,7.35
33.50,1722.16,7.40
34.00,1759.37,7.44
34.50,1796.81,7.49
35.00,1834.45,7.53
35.50,1872.31,7.57
36.00,1910.38,7.61
36.50,1948.66,7.66
37.00,1987.14,7.70
37.50,2025.82,7.74
38.00,2064.70,7.78
38.50,2103.78,7.82
39.00,2143.05,7.85
39.50,2182.51,7.89
40.00,2222.16,7.93
40.50,2261.99,7.97
41.00,2302.02,8.01
41.50,2342.22,8.04
42.00,2382.60,8.08
42.50,2423.16,8.11
43.00,2463.89,8.15
43.50,2504.79,8.18
44.00,2545.87,8.22
44.50,2587.11,8.25
45.00,2628.52,8.28
45.50,2670.09,8.31
46.00,2711.83,8.35
46.50,2753.72,8.38
47.00,2795.77,8.41
47.50,2837.98,8.44
48.00,2880.34,8.47
48.50,2922.85,8.50
49.00,2965.51,8.53
49.50,3008.31,8.56
50.00,3051.27,8.59
50.50,3094.36,8.62
51.00,3137.60,8.65
51.50,3180.97,8.67
52.00,3224.49,8.70
52.50,3268.14,8.73
53.00,3311.92,8.76
53.50,3355.84,8.78
54.00,3399.89,8.81
54.50,3444.06,8.83
55.00,3488.37,8.86
55.50,3532.79,8.88
56.00,3577.35,8.91
56.50,3622.02,8.93
57.00,3666.81,8.96
57.50,3711.72,8.98
58.00,3756.75,9.01
58.50,3801.89,9.03
59.00,3847.15,9.05
59.50,3892.52,9.07
60.00,3938.00,9.10
60.50,3983.58,9.12
61.00,4029.28,9.14
61.50,4075.08,9.16
62.00,4120.98,9.18
62.50,4166.98,9.20
63.00,4213.09,9.22
63.50,4259.29,9.24
64.00,4305.59,9.26
64.50,4351.99,9.28
65.00,4398.48,9.30
65.50,4445.06,9.32
66.00,4491.74,9.34
66.50,4538.50,9.35
67.00,4585.35,9.37
67.50,4632.30,9.39
68.00,4679.32,9.40
68.50,4726.43,9.42
69.00,4773.62,9.44
69.50,4820.89,9.45
70.00,4868.25,9.47
70.50,4915.68,9.49
71.00,4963.18,9.50
71.50,5010.77,9.52
72.00,5058.42,9.53
72.50,5106.15,9.55
73.00,5153.95,9.56
73.50,5201.82,9.57
74.00,5249.76,9.59
74.50,5297.76,9.60
75.00,5345.83,9.61
75.50,5393.97,9.63
76.00,5442.17,9.64
76.50,5490.42,9.65
77.00,5538.74,9.66
77.50,5587.12,9.68
78.00,5635.55,9.69
78.50,5684.05,9.70
79.00,5732.59,9.71
79.50,5781.19,9.72
80.00,5829.84,9.73
80.50,5878.54,9.74
81.00,5927.29,9.75
81.50,5976.09,9.76
82.00,6024.94,9.77
82.50,6073.83,9.78
83.00,6122.76,9.79
83.50,6171.74,9.80
84.00,6220.76,9.80
84.50,6269.82,9.81
85.00,6318.92,9.82
85.50,6368.06,9.83
86.00,6417.23,9.83
86.50,6466.44,9.84
87.00,6515.68,9.85
87.50,6564.95,9.85
88.00,6614.26,9.86
88.50,6663.59,9.87
89.00,6712.96,9.87
89.50,6762.35,9.88
90.00,6811.77,9.88
90.50,6861.21,9.89
91.00,6910.68,9.89
91.50,6960.17,9.90
92.00,7009.68,9.90
92.50,7059.21,9.91
93.00,7108.76,9.91
93.50,7158.33,9.91
94.00,7207.91,9.92
94.50,7257.51,9.92
95.00,7307.12,9.92
95.50,7356.74,9.93
96.00,7406.38,9.93
96.50,7456.02,9.93
97.00,7505.68,9.93
97.50,7555.34,9.93
98.00,7605.00,9.93
98.50,7654.68,9.94
99.00,7704.35,9.93
99.50,7754.03,9.94
100.00,7803.71,9.94
100.50,7853.39,9.94
101.00,7903.07,9.94
101.50,7952.75,9.94
102.00,8002.42,9.93
102.50,8052.09,9.93
103.00,8101.76,9.93
103.50,8151.40,9.93
104.00,8201.05,9.93
104.50,8250.68,9.93
105.00,8300.30,9.92
105.50,8349.92,9.92
106.00,8399.51,9.92
106.50,8449.10,9.92
107.00,8498.66,9.91
107.50,8548.21,9.91
108.00,8597.74,9.91
108.50,8647.25,9.90
109.00,8696.74,9.90
109.50,8746.21,9.89
110.00,8795.65,9.89
110.50,8845.07,9.88
111.00,8894.46,9.88
111.50,8943.83,9.87
112.00,8993.16,9.87
112.50,9042.47,9.86
113.00,9091.74,9.85
113.50,9140.99,9.85
114.00,9190.19,9.84
114.50,9239.37,9.84
115.00,9288.50,9.83
115.50,9337.60,9.82
116.00,9386.66,9.81
116.50,9435.68,9.80
117.00,9484.66,9.80
117.50,9533.59,9.79
118.00,9582.49,9.78
118.50,9631.33,9.77
119.00,9680.13,9.76
119.50,9728.88,9.75
120.00,9777.58,9.74
120.50,9826.23,9.73
121.00,9874.83,9.72
121.50,9923.38,9.71
122.00,9971.87,9.70
122.50,10020.30,9.69
123.00,10068.68,9.68
123.50,10117.00,9.66
124.00,10165.26,9.65
124.50,10213.45,9.64
125.00,10261.59,9.63
125.50,10309.66,9.61
126.00,10357.66,9.60
126.50,10405.60,9.59
127.00,10453.47,9.57
127.50,10501.27,9.56
128.00,10549.00,9.55
128.50,10596.66,9.53
129.00,10644.24,9.52
129.50,10691.74,9.50
130.00,10739.18,9.49
130.50,10786.53,9.47
131.00,10833.80,9.45
131.50,10880.99,9.44
132.00,10928.10,9.42
132.50,10975.13,9.41
133.00,11022.07,9.39
133.50,11068.92,9.37
134.00,11115.69,9.35
134.50,11162.36,9.33
135.00,11208.94,9.32
135.50,11255.44,9.30
136.00,11301.83,9.28
136.50,11348.13,9.26
137.00,11394.34,9.24
137.50,11440.44,9.22
138.00,11486.45,9.20
138.50,11532.35,9.18
139.00,11578.15,9.16
139.50,11623.84,9.14
140.00,11669.43,9.12
140.50,11714.90,9.09
141.00,11760.27,9.07
141.50,11805.53,9.05
142.00,11850.67,9.03
142.50,11895.70,9.01
143.00,11940.61,8.98
143.50,11985.40,8.96
144.00,12030.08,8.94
144.50,12074.63,8.91
145.00,12119.06,8.89
145.50,12163.36,8.86
146.00,12207.53,8.83
146.50,12251.58,8.81
147.00,12295.50,8.78
147.50,12339.28,8.76
148.00,12382.93,8.73
148.50,12426.45,8.70
149.00,12469.82,8.67
149.50,12513.06,8.65
150.00,12556.16,8.62
150.50,12599.11,8.59
151.00,12641.92,8.56
151.50,12684.58,8.53
152.00,12727.08,8.50
152.50,12769.44,8.47
153.00,12811.66,8.44
153.50,12853.70,8.41
154.00,12895.59,8.38
154.50,12937.33,8.35
155.00,12978.90,8.31
155.50,13020.31,8.28
156.00,13061.55,8.25
156.50,13102.63,8.22
157.00,13143.53,8.18
157.50,13184.27,8.15
158.00,13224.82,8.11
158.50,13265.21,8.08
159.00,13305.41,8.04
159.50,13345.43,8.00
160.00,13385.26,7.97
160.50,13424.92,7.93
161.00,13464.38,7.89
161.50,13503.65,7.85
162.00,13542.72,7.81
162.50,13581.60,7.78
163.00,13620.29,7.74
163.50,13658.77,7.70
164.00,13697.04,7.65
164.50,13735.11,7.61
165.00,13772.97,7.57
165.50,13810.62,7.53
166.00,13848.05,7.49
166.50,13885.26,7.44
167.00,13922.26,7.40
167.50,13959.02,7.35
168.00,13995.56,7.31
168.50,14031.87,7.26
169.00,14067.95,7.22
169.50,14103.79,7.17
170.00,14139.39,7.12
170.50,14174.75,7.07
171.00,14209.85,7.02
171.50,14244.71,6.97
172.00,14279.32,6.92
172.50,14313.67,6.87
173.00,14347.75,6.82
173.50,14381.57,6.76
174.00,14415.12,6.71
174.50,14448.40,6.66
175.00,14481.40,6.60
175.50,14514.12,6.54
176.00,14546.55,6.49
176.50,14578.69,6.43
177.00,14610.54,6.37
177.50,14642.09,6.31
178.00,14673.33,6.25
178.50,14704.26,6.19
179.00,14734.88,6.12
179.50,14765.18,6.06
180.00,14795.15,5.99
180.50,14824.80,5.93
181.00,14854.10,5.86
181.50,14883.06,5.79
182.00,14911.67,5.72
182.50,14939.93,5.65
183.00,14967.82,5.58
183.50,14995.35,5.51
184.00,15022.49,5.43
184.50,15049.25,5.35
185.00,15075.62,5.27
185.50,15101.59,5.19
186.00,15127.15,5.11
186.50,15152.29,5.03
187.00,15177.00,4.94
187.50,15201.28,4.86
188.00,15225.10,4.76
188.50,15248.47,4.67
189.00,15271.38,4.58
189.50,15293.77,4.48
190.00,15315.68,4.38
190.50,15337.07,4.28
191.00,15357.94,4.17
191.50,15378.26,4.06
192.00,15398.02,3.95
192.50,15417.20,3.84
193.00,15435.77,3.71
193.50,15453.71,3.59
194.00,15471.00,3.46
194.50,15487.60,3.32
195.00,15503.48,3.18
195.50,15518.61,3.03
196.00,15532.94,2.87
196.50,15546.41,2.69
197.00,15558.97,2.51
197.50,15570.54,2.31
198.00,15581.01,2.09
198.50,15590.28,1.85
199.00,15598.07,1.56
199.50,15604.12,1.21
200.00,15607.43,0.66
